校系代碼,系名
017342,機械工程學系
017352,紡織工程學系
017362,資訊工程學系
017372,國際貿易學系
017382,國際企業管理學系
017392,會計學系
017402,觀光事業學系
017412,資訊管理學系
017422,財務金融學系金融行銷組
017432,財務金融學系財務金融組
017442,全球商務學士學位學程
017452,新聞學系
017462,廣告學系
017472,資訊傳播學系
017482,大眾傳播學系
017492,市政暨環境規劃學系
017502,建築及都市設計學系
017512,景觀學系
017522,教育學系
017532,心理輔導學系
017542,戲劇學系
017552,中國戲劇學系
017562,音樂學系
017572,中國音樂學系傳統器樂組
017582,中國音樂學系音樂劇場組
017592,美術學系
017602,體育學系
017612,技擊運動暨國術學系
017622,運動與健康促進學系
020012,中國文學系
020022,歷史學系
020032,哲學系
020042,景觀設計學系
020052,影像傳播學系
020062,新聞傳播學系
020072,廣告傳播學系
020082,圖書資訊學系
020092,教育領導與科技發展學士學位學程
020102,護理學系
020112,護理學系(公費生)
020122,公共衛生學系
020132,醫學系
020142,臨床心理學系
020152,職能治療學系
020162,呼吸治療學系
020172,數學系純數學組
020182,數學系應用數學組
020192,化學系
020202,資訊工程學系
020212,生命科學系
020222,物理學系物理組
020232,物理學系光電物理組
020242,電機工程學系電腦與通訊工程組
020252,電機工程學系系統與晶片設計組
020262,醫學資訊與創新應用學士學位學程
020272,英國語文學系
020282,法國語文學系
020292,西班牙語文學系
020302,日本語文學系
020312,義大利語文學系
020322,德語語文學系
020332,織品服裝學系織品設計組
020342,織品服裝學系服飾設計組
020352,織品服裝學系織品服飾行銷組
020362,餐旅管理學系
020372,兒童與家庭學系
020382,食品科學系
020392,營養科學系
020402,法律學系
020412,財經法律學系
020422,企業管理學系
020432,會計學系
020442,資訊管理學系
020452,統計資訊學系
020462,金融與國際企業學系
020472,社會學系
020482,社會工作學系
020492,經濟學系
020502,宗教學系
020512,心理學系
020522,音樂學系應用音樂組
020532,音樂學系器樂組
020542,應用美術學系
020552,體育學系體育學組
020562,體育學系運動健康管理組
020572,醫學系(繁星第八類)
023012,輔導與諮商學系學校輔導與諮商組
023022,輔導與諮商學系社區輔導與諮商組
023032,特殊教育學系
023042,英語學系
023052,國文學系
023062,地理學系
023072,數學系
023082,物理學系物理組
023092,物理學系光電組
023102,化學系
023112,生物學系
023122,機電工程學系
023132,電子工程學系
023142,資訊工程學系
023152,電機工程學系
023162,企業管理學系
023172,會計學系
023182,資訊管理學系資訊管理組
023192,資訊管理學系數位內容科技與管理組
023202,物理學系物理組(公費生)
023212,化學系(公費生)
023222,數學系(公費生)
023232,美術學系
023242,運動學系
027012,中國文學系
027022,外國語文學系
027032,劇場藝術學系
027042,生物科學系
027052,化學系
027062,物理學系
027072,應用數學系
027082,電機工程學系
027092,機械與機電工程學系
027102,資訊工程學系
027112,光電工程學系
027122,材料與光電科學學系
027132,企業管理學系
027142,資訊管理學系
027152,財務管理學系
027162,海洋環境及工程學系
027172,海洋生物科技暨資源學系
027182,海洋科學系
027192,政治經濟學系
027202,社會學系
027212,音樂學系
027222,音樂學系創作與應用組
031012,教育學系
031022,語文教育學系
031032,區域與社會發展學系
031042,數學教育學系
031052,科學教育與應用學系
031062,幼兒教育學系
031072,特殊教育學系
031082,臺灣語文學系
031092,資訊工程學系
031102,英語學系
031112,諮商與應用心理學系
031122,數位內容科技學系
031132,國際企業學系
031142,文化創意產業設計與營運學系
031152,音樂學系
031162,美術學系
031172,體育學系非運動專長組
031182,體育學系運動專長組
034012,應用數學系數學科學組
034022,應用數學系統計科學組
034032,物理學系物理組
034042,物理學系奈米與光電科學組
034052,化學系
034062,生命科學系
034072,資訊工程學系學士班資工組
034082,資訊工程學系學士班國際組
034092,電機工程學系
034102,材料科學與工程學系
034112,光電工程學系
034122,企業管理學系
034132,會計學系
034142,資訊管理學系
034152,國際企業學系
034162,財務金融學系
034172,觀光暨休閒遊憩學系
034182,管理學院管理科學與財金國際學士學位學程
034192,華文文學系
034202,中國語文學系
034212,英美語文學系
034222,臺灣文化學系
034232,歷史學系
034242,經濟學系
034252,諮商與臨床心理學系
034262,社會學系
034272,公共行政學系
034282,法律學士學位學程
034292,教育與潛能開發學系
034302,教育行政與管理學系
034312,特殊教育學系
034322,幼兒教育學系
034332,族群關係與文化學系
034342,民族語言與傳播學系
034352,民族事務與發展學系
034362,民族社會工作學士學位學程
034372,自然資源與環境學系
034382,音樂學系
034392,藝術與設計學系
034402,藝術創意產業學系
034412,體育與運動科學系
037012,教育與學習科技學系
037022,幼兒教育學系
037032,教育心理與諮商學系
037042,特殊教育學系
037052,環境與文化資源學系
037062,中國語文學系
037072,應用數學系
037082,應用科學系材料科學組
037092,應用科學系生命科學組
037102,不分系招生(人文教育勵進組)
037112,不分系招生(理工勵進組)
037122,中國語文學系(公費生)
037132,英語教學系(公費生甲組)
037142,英語教學系(公費生乙組)
037152,音樂學系
037162,音樂學系(公費生甲組)
037172,音樂學系(公費生乙組)
037182,藝術與設計學系創作組
037192,藝術與設計學系設計組
037202,體育學系
037212,體育勵進組
037222,體育學系(公費生)
040012,管理學院學士班(主修：企業管理)
040022,管理學院學士班(主修：財務金融)
040032,管理學院學士班(主修：國際企業)
040042,管理學院學士班(主修：會計)
040052,管理學院學士班(英語專班)
040062,應用外語學系
040072,中國語文學系
040082,社會暨政策科學學系
040092,資訊傳播學系設計組
040102,資訊傳播學系科技組
040112,資訊管理學系
040122,資訊工程學系
040132,機械工程學系
040142,化學工程與材料科學學系
040152,工業工程與管理學系
040162,電機工程學系
040172,通訊工程學系(電機通訊組)
040182,通訊工程學系(電子電路組)
040192,通訊工程學系(電子資通組)
040202,通訊工程學系(行動通訊組)
040212,通訊工程學系(系統晶片設計組)
040222,光電工程學系
040232,藝術與設計學系
043012,電機工程學系
043022,機械工程學系精密機械組
043032,機械工程學系智慧自動化組
043042,電子工程學系
043052,光機電與材料學士學位學程
043062,工業管理學系
043072,企業管理學系企業管理組
043082,企業管理學系行銷管理組
043092,財務管理學系
043102,國際企業學系
043112,運輸科技與物流管理學系
043122,科技管理學系
043132,建築與都市計畫學系建築設計組
043142,建築與都市計畫學系環境規劃與管理組
043152,建築與都市計畫學系建築科技組
043162,景觀建築學系
043172,營建管理學系
043182,土木工程學系
043192,工業產品設計學系工業設計組
043202,工業產品設計學系創意生活設計組
043212,外國語文學系
043222,應用日語學系商務組
043232,應用日語學系語文組
043242,應用日語學系觀光組
043252,行政管理學系
043262,資訊工程學系資訊工程組
043272,資訊工程學系軟體工程及設計組
043282,資訊工程學系資訊應用組
043292,資訊工程學系雲端物聯網組
043302,生物資訊學系
043312,資訊管理學系資訊系統設計組
043322,資訊管理學系資訊管理應用組
043332,資訊管理學系手機軟體設計組
043342,資訊管理學系巨量資料應用組
043352,餐旅管理學系
043362,休閒遊憩規劃與管理學系
043372,觀光與會展學系
046012,企業管理學系(台北校區)
046022,會計學系(台北校區)
046032,財務金融學系國際金融管理組(台北校區)
046042,財務金融學系財務金融組(台北校區)
046052,風險管理與保險學系(台北校區)
046062,國際企業學系國際企業經營組(台北校區)
046072,國際企業學系外貿行銷管理組(台北校區)
046082,新媒體暨傳播管理學系(台北校區)
046092,廣播電視學系(台北校區)
046102,廣告暨策略行銷學系(台北校區)
046112,新聞學系(台北校區)
046122,法律學系(台北校區)
046132,財金法律學系(台北校區)
046142,應用統計與資料科學學系(桃園校區)
046152,經濟與金融學系(桃園校區)
046162,應用中國文學系(桃園校區)
046172,應用英語學系(桃園校區)
046182,應用日語學系(桃園校區)
046192,華語文教學學系(桃園校區)
046202,商業設計學系(桃園校區)
046212,商品設計學系(桃園校區)
046222,數位媒體設計學系(桃園校區)
046232,建築學系(桃園校區)
046242,都市規劃與防災學系(桃園校區)
046252,觀光事業學系(桃園校區)
046262,休閒遊憩管理學系(桃園校區)
046272,餐旅管理學系(桃園校區)
046282,社會與安全管理學系(桃園校區)
046292,公共事務學系(桃園校區)
046302,諮商與工商心理學系(桃園校區)
046312,資訊管理學系(桃園校區)
046322,資訊傳播工程學系(桃園校區)
046332,資訊工程學系(桃園校區)
046342,電子工程學系(桃園校區)
046352,電腦與通訊工程學系(桃園校區)
046362,醫療資訊與管理學系(桃園校區)
046372,生物科技學系(桃園校區)
046382,生物醫學工程學系(桃園校區)
051012,企業管理學系
051022,企業管理學系電子商務組
051032,企業管理學系行銷管理組
051042,國際企業學系
051052,國際企業學系國際行銷管理組
051062,國際企業學系國際財經貿易組
051072,會計資訊學系
051082,航運管理學系
051092,航運管理學系產學合作發展組
051102,土地管理與開發學系土地管理組
051112,土地管理與開發學系空間規劃組
051122,土地管理與開發學系永續環境組
051132,財務金融學系
051142,財務金融學系公司財務組
051152,財務金融學系投資理財組
051162,科技管理學位學程科技專案管理組
051172,科技管理學位學程企業營運管理組
051182,觀光與餐飲管理學系
051192,觀光與餐飲管理學系觀光產學組
051202,觀光與餐飲管理學系餐飲產學組
051212,國際會展管理學士學位學程國際行銷貿易組
051222,國際會展管理學士學位學程會展規劃管理組
051232,國際財務與商務管理學士學位學程國際財務組
051242,國際財務與商務管理學士學位學程國際商務組
051252,不動產財務金融學士學位學程金融與管理組
051262,不動產財務金融學士學位學程投資與理財組
051272,醫務管理學系醫療機構組
051282,醫務管理學系長期照護組
051292,職業安全與衛生學系職業衛生組
051302,職業安全與衛生學系職業安全組
051312,職業安全與衛生學系安全衛生管理組
051322,護理學系
051332,護理學系(公費生)
051342,生物科技學系
051352,生物科技學系生物產業經營管理組
051362,健康心理學系
051372,保健營養學系
051382,醫藥科學產業學士學位學程醫學科學組
051392,醫藥科學產業學士學位學程醫藥產業組
051402,環境與食品安全檢驗學士學位學程環境檢驗組
051412,環境與食品安全檢驗學士學位學程食品檢驗組
051422,環境與食品安全檢驗學士學位學程職場檢測組
051432,消防安全學士學位學程消防防災技術組
051442,消防安全學士學位學程消防實務管理組
051452,大眾傳播學系
051462,翻譯學系
051472,翻譯學系經貿翻譯組
051482,翻譯學系新聞翻譯組
051492,社會工作學系社工專業組
051502,社會工作學系長期照護服務管理組
051512,應用日語學系語文溝通組
051522,應用日語學系觀光文化組
051532,應用日語學系經濟貿易組
051542,應用哲學系公共參與組
051552,應用哲學系生命關懷組
051562,台灣文化創意產業學士學位學程工藝設計行銷組
051572,台灣文化創意產業學士學位學程台灣文創行銷組
051582,資訊管理學系
051592,資訊管理學系電子商務組
051602,資訊管理學系產學合作發展組
051612,科技工程與管理學系
051622,科技工程與管理學系積體電路設計與應用組
051632,科技工程與管理學系無人機設計與應用組
051642,科技工程與管理學系資電應用設計組
051652,資訊工程學系
051662,資訊工程學系互動多媒體組
051672,資訊工程學系產業發展組
051682,數位內容設計學系
051692,數位內容設計學系App與網頁組
051702,數位內容設計學系特效與遊戲組
051712,創新互動設計學士學位學程互動多媒體組
051722,創新互動設計學士學位學程創意美學組
051732,媒體設計科技學系互動設計組
051742,媒體設計科技學系影視動畫組
051752,美術學系藝術創作組
051762,美術學系應用藝術組
051772,書畫藝術學系行銷才藝組
051782,書畫藝術學系創作應用組
051792,運動競技學系
059012,財務金融學系
059022,企業管理學系經營管理組
059032,企業管理學系行銷管理組
059042,文化創意事業管理學系(文創行銷組)
059052,文化創意事業管理學系(休閒產業組)
059062,旅遊管理學系
059072,管理學院國際企業學士學位學程
059082,生死學系(社會工作組)
059092,生死學系(殯葬服務組)
059102,生死學系(諮商組)
059112,幼兒教育學系
059122,文學系
059132,外國語文學系
059142,應用社會學系(社會學組)
059152,應用社會學系(社會工作組)
059162,傳播學系
059172,國際事務與企業學系
059182,視覺與媒體藝術學系
059192,民族音樂學系
059202,建築與景觀學系(社會組)
059212,建築與景觀學系(自然組)
059222,創意產品設計學系
059232,資訊工程學系網路多媒體組
059242,資訊工程學系晶片系統組
059252,自然生物科技學系
059262,資訊管理學系(資訊管理組)
059272,資訊管理學系(網路多媒體應用組)
065012,宗教與文化學系
065022,社會工作學系
065032,應用心理學系
065042,法律學系
065052,大眾傳播學系
065062,大眾傳播學系-特色組
065072,廣播與電視新聞學系
065082,廣播與電視新聞學系-特色組
065092,影劇藝術學系
065102,影劇藝術學系-特色組
065112,視覺傳達設計學系廣告設計組
065122,視覺傳達設計學系廣告設計組-特色組
065132,視覺傳達設計學系數位媒體組
065142,視覺傳達設計學系數位媒體組-特色組
065152,藝術與創意設計學系
065162,藝術與創意設計學系-特色組
065172,時尚設計學系
065182,時尚設計學系-特色組
065192,應用外語學系日語組
065202,應用外語學系英語組
065212,企業管理學系
065222,企業管理學系-特色組
065232,資訊管理學系
065242,資訊管理學系-特色組
065252,餐旅管理學系
065262,餐旅管理學系-特色組
100012,教育學系
100022,幼兒教育學系
100032,特殊教育學系
100042,輔導與諮商學系
100052,數位學習設計與管理學系
100062,中國文學系
100072,外國語言學系英語教學組
100082,外國語言學系應用外語組
100092,應用歷史學系
100102,企業管理學系
100112,應用經濟學系
100122,生物事業管理學系
100132,資訊管理學系
100142,財務金融學系
100152,行銷與觀光管理學系
100162,農藝學系
100172,園藝學系
100182,森林暨自然資源學系
100192,木質材料與設計學系
100202,動物科學系
100212,獸醫學系
100222,生物農業科技學系
100232,景觀學系
100242,植物醫學系
100252,應用數學系
100262,電子物理學系
100272,應用化學系
100282,資訊工程學系
100292,生物機電工程學系
100302,土木與水資源工程學系
100312,電機工程學系
100322,機械與能源工程學系
100332,食品科學系
100342,生化科技學系
100352,生物資源學系
100362,水生生物科學系
100372,微生物免疫與生物藥學系
100382,教育學系(公費生)
100392,音樂學系
100402,視覺藝術學系
100412,體育與健康休閒學系
109012,醫學系
109022,牙醫學系
109032,藥學系藥學組
109042,藥學系臨床藥學組
109052,醫學檢驗暨生物技術學系
109062,護理學系
109072,保健營養學系
109082,公共衛生學系
109092,醫務管理學系
109102,呼吸治療學系
109112,高齡健康管理學系
109122,牙體技術學系
109132,口腔衛生學系
109142,護理學系(公費生)
109152,生物醫學工程學系
109162,醫學系(繁星第八類)
112012,數位應用學系
112022,資訊傳播學系
112032,健康照護管理學系
112042,餐飲管理學系
112052,休閒管理學系
112062,企業管理學系
112072,應用外語學系應用英語組
112082,應用外語學系應用日語組
112092,嬰幼兒保育學系(台北校區)
132012,動畫遊戲設計學系
132022,行動科技學系
132032,時尚設計學系
132042,休閒遊憩管理學系
132052,幼兒教育學系(非師資培育系所)
132062,老人福祉與社會工作學系
132072,餐飲管理學系
132082,時尚美容藝術與保健管理學士學位學程
132092,表演藝術學士學位學程
132102,法律學士學位學程
132112,經營管理學士學位學程
132122,觀光規劃學士學位學程
146012,醫學系(公費生)
002012,教育學系
002022,教育學系(公費生)
002032,教育心理與輔導學系
002042,社會教育學系
002052,健康促進與衛生教育學系
002062,人類發展與家庭學系家庭生活教育組
002072,人類發展與家庭學系幼兒發展與教育組
002082,人類發展與家庭學系營養科學與教育組
002092,公民教育與活動領導學系
002102,公民教育與活動領導學系(公費生)
002112,特殊教育學系
002122,國文學系
002132,英語學系
002142,歷史學系
002152,地理學系
002162,臺灣語文學系
002172,數學系
002182,物理學系
002192,化學系
002202,生命科學系
002212,地球科學系
002222,資訊工程學系
002232,科技應用與人力資源發展學系
002242,圖文傳播學系
002252,機電工程學系
002262,電機工程學系
002272,應用華語文學系
002282,東亞學系漢學與文化組
002292,東亞學系政治與經濟組
002302,企業管理學系
002312,設計學系產品與室內設計組
002322,不分系招生(晨光組)
002332,音樂學系
002342,表演藝術學士學位學程
002352,設計學系平面與媒體設計組
002362,美術學系西畫組
002372,美術學系國畫組
002382,體育學系
005012,中國文學系
005022,歷史學系
005032,哲學系
005042,政治學系
005052,社會學系
005062,社會工作學系
005072,英文學系
005082,日本語文學系
005092,德國文化學系
005102,數學系
005112,物理學系
005122,化學系
005132,微生物學系應用微生物組
005142,微生物學系生物科技組
005152,心理學系
005162,法律學系
005172,經濟學系
005182,會計學系
005192,企業管理學系
005202,國際經營與貿易學系
005212,財務工程與精算數學系
005222,資訊管理學系
005232,巨量資料管理學院學士學位學程
005242,音樂學系
008012,應用數學系
008022,物理學系物理組
008032,物理學系光電與材料科學組
008042,化學系化學組
008052,化學系材料化學組
008062,心理學系
008072,生物科技學系
008082,化學工程學系綠能製程組
008092,化學工程學系生化工程組
008102,化學工程學系材料工程組
008112,土木工程學系
008122,機械工程學系
008132,生物醫學工程學系
008142,環境工程學系
008152,電機資訊學院學士班
008162,工業與系統工程學系工程組
008172,工業與系統工程學系管理組
008182,電子工程學系
008192,資訊工程學系
008202,電機工程學系
008212,企業管理學系服務業管理組
008222,企業管理學系高科技業管理組
008232,企業管理學系工商管理組
008242,國際經營與貿易學系
008252,會計學系
008262,資訊管理學系
008272,財務金融學系
008282,財經法律學系
008292,建築學系
008302,室內設計學系
008312,商業設計學系
008322,景觀學系
008332,特殊教育學系
008342,應用外國語文學系
008352,應用華語文學系
012012,牙醫學系
012022,醫學系
012032,中醫學系甲組
012042,中醫學系乙組
012052,藥學系
012062,公共衛生學系
012072,護理學系
012082,醫學檢驗生物技術學系
012092,營養學系
012102,物理治療學系
012112,生物科技學系
012122,運動醫學系
012132,中國藥學暨中藥資源學系
012142,醫務管理學系
012152,職業安全與衛生學系
012162,藥用化妝品學系
012172,生物醫學影像暨放射科學學系
012182,護理學系(公費生)
012192,醫學系(繁星第八類)
015012,機械與電腦輔助工程學系
015022,纖維與複合材料學系
015032,工業工程與系統管理學系
015042,化學工程學系
015052,航太與系統工程學系
015062,精密系統設計學士學位學程
015072,會計學系
015082,國際經營與貿易學系
015092,國際經營與貿易學系國際企業管理全英語學士班
015102,財稅學系
015112,合作經濟暨社會事業經營學系
015122,統計學系
015132,經濟學系
015142,企業管理學系
015152,行銷學系
015162,應用數學系
015172,材料科學與工程學系
015182,環境工程與科學學系
015192,光電學系
015202,中國文學系
015212,外國語文學系
015222,資訊工程學系
015232,電子工程學系
015242,電機工程學系
015252,自動控制工程學系
015262,資訊電機學院不分系榮譽班
015272,通訊工程學系
015282,土木工程學系
015292,水利工程與資源保育學系
015302,都市計畫與空間資訊學系都市計畫組
015312,都市計畫與空間資訊學系空間資訊組
015322,運輸科技與管理學系
015332,土地管理學系
015342,財務金融學系
015352,風險管理與保險學系
015362,財務工程與精算學士學位學程
015372,建築專業學院學士班
015382,商學與創新雙學士學位學程
018012,英國語文學系
018022,英國語文學系-繁星類
018032,西班牙語文學系
018042,西班牙語文學系-繁星類
018052,日本語文學系
018062,日本語文學系-繁星類
018072,中國文學系
018082,中國文學系-繁星類
018092,社會工作與兒童少年福利學系
018102,社會工作與兒童少年福利學系-繁星類
018112,台灣文學系
018122,台灣文學系-繁星類
018132,法律學系
018142,法律學系-繁星類
018152,生態人文學系
018162,生態人文學系-繁星類
018172,大眾傳播學系
018182,大眾傳播學系-繁星類
018192,財務與計算數學系計算數學組
018202,財務與計算數學系計算數學組-繁星類
018212,財務與計算數學系財務工程組
018222,財務與計算數學系財務工程組-繁星類
018232,應用化學系(綠色能源組)
018242,應用化學系(應用化學組)
018252,應用化學系-繁星類
018262,食品營養學系營養與保健組
018272,食品營養學系營養與保健組-繁星類
018282,食品營養學系食品與生物技術組
018292,食品營養學系食品與生物技術組-繁星類
018302,化粧品科學系
018312,化粧品科學系-繁星類
018322,統計資訊學系(工業工程統計組)
018332,統計資訊學系(巨量資料暨商業智慧組)
018342,統計資訊學系-繁星類
018352,企業管理學系(行銷運籌與創新管理組)
018362,企業管理學系(行銷運籌與創新管理組)-繁星類
018372,企業管理學系(人力資源與創意管理組)
018382,企業管理學系(人力資源與創意管理組)-繁星類
